,행정동코드,읍면동명,기준일ID,시간대구분,총생활인구수
0,11110515,청운효자동,20211231.0,23.0,15568.7728
1,11110530,사직동,20211231.0,23.0,12282.5108
2,11110540,삼청동,20211231.0,23.0,3399.2853
3,11110550,부암동,20211231.0,23.0,14614.0155
4,11110560,평창동,20211231.0,23.0,18723.1867
5,11110570,무악동,20211231.0,23.0,7414.0854
6,11110580,교남동,20211231.0,23.0,6986.4142
7,11110600,가회동,20211231.0,23.0,4501.1006
8,11110615,종로1.2.3.4가동,20211231.0,23.0,24417.017
9,11110630,종로5.6가동,20211231.0,23.0,9202.849
10,11110640,이화동,20211231.0,23.0,15316.6893
11,11110650,혜화동,20211231.0,23.0,24578.2773
12,11110670,창신제1동,20211231.0,23.0,6050.9867
13,11110680,창신제2동,20211231.0,23.0,11146.8167
14,11110690,창신제3동,20211231.0,23.0,6449.842
15,11110700,숭인제1동,20211231.0,23.0,6766.6507
16,11110710,숭인제2동,20211231.0,23.0,12759.6168
17,11140520,소공동,20211231.0,23.0,9684.4835
18,11140540,회현동,20211231.0,23.0,10690.954
19,11140550,명동,20211231.0,23.0,12757.6211
20,11140570,필동,20211231.0,23.0,7071.5924
21,11140580,장충동,20211231.0,23.0,8428.5133
22,11140590,광희동,20211231.0,23.0,13232.542
23,11140605,을지로동,20211231.0,23.0,6956.7291
24,11140615,신당동,20211231.0,23.0,14469.2312
25,11140625,다산동,20211231.0,23.0,13354.1404
26,11140635,약수동,20211231.0,23.0,16046.806
27,11140645,청구동,20211231.0,23.0,13906.024
28,11140650,신당제5동,20211231.0,23.0,10273.0344
29,11140665,동화동,20211231.0,23.0,9612.0677
30,11140670,황학동,20211231.0,23.0,12783.7657
31,11140680,중림동,20211231.0,23.0,8401.9828
32,11170510,후암동,20211231.0,23.0,15384.0104
33,11170520,용산2가동,20211231.0,23.0,12842.8948
34,11170530,남영동,20211231.0,23.0,9634.8789
35,11170555,청파동,20211231.0,23.0,21879.8135
36,11170560,원효로제1동,20211231.0,23.0,19073.7637
37,11170570,원효로제2동,20211231.0,23.0,16424.7157
38,11170580,효창동,20211231.0,23.0,9489.9776
39,11170590,용문동,20211231.0,23.0,10087.1117
40,11170625,한강로동,20211231.0,23.0,31324.8162
41,11170630,이촌제1동,20211231.0,23.0,26608.2769
42,11170640,이촌제2동,20211231.0,23.0,6907.8181
43,11170650,이태원제1동,20211231.0,23.0,10313.1165
44,11170660,이태원제2동,20211231.0,23.0,12678.6325
45,11170685,한남동,20211231.0,23.0,25503.5703
46,11170690,서빙고동,20211231.0,23.0,14967.675
47,11170700,보광동,20211231.0,23.0,11962.7422
48,11200520,왕십리제2동,20211231.0,23.0,14049.0079
49,11200535,왕십리도선동,20211231.0,23.0,31440.2792
50,11200540,마장동,20211231.0,23.0,21071.8668
51,11200550,사근동,20211231.0,23.0,16263.5457
52,11200560,행당제1동,20211231.0,23.0,18130.6113
53,11200570,행당제2동,20211231.0,23.0,23535.7638
54,11200580,응봉동,20211231.0,23.0,12832.521
55,11200590,금호1가동,20211231.0,23.0,17598.9218
56,11200615,금호2.3가동,20211231.0,23.0,22349.0277
57,11200620,금호4가동,20211231.0,23.0,14030.056
58,11200645,옥수동,20211231.0,23.0,25853.3723
59,11200650,성수1가제1동,20211231.0,23.0,15088.7928
60,11200660,성수1가제2동,20211231.0,23.0,14354.0785
61,11200670,성수2가제1동,20211231.0,23.0,18339.1145
62,11200690,성수2가제3동,20211231.0,23.0,19849.403
63,11200720,송정동,20211231.0,23.0,11133.5452
64,11200790,용답동,20211231.0,23.0,17335.8882
65,11215710,화양동,20211231.0,23.0,30568.6529
66,11215730,군자동,20211231.0,23.0,17176.0764
67,11215740,중곡제1동,20211231.0,23.0,15880.7413
68,11215750,중곡제2동,20211231.0,23.0,22068.3872
69,11215760,중곡제3동,20211231.0,23.0,16115.1066
70,11215770,중곡제4동,20211231.0,23.0,27191.3327
71,11215780,능동,20211231.0,23.0,11945.4462
72,11215810,광장동,20211231.0,23.0,36194.0265
73,11215820,자양제1동,20211231.0,23.0,24075.9979
74,11215830,자양제2동,20211231.0,23.0,23091.4208
75,11215840,자양제3동,20211231.0,23.0,23760.1941
76,11215847,자양제4동,20211231.0,23.0,22825.6173
77,11215850,구의제1동,20211231.0,23.0,28623.6162
78,11215860,구의제2동,20211231.0,23.0,22265.5797
79,11215870,구의제3동,20211231.0,23.0,27686.0746
80,11230536,용신동,20211231.0,23.0,30422.6099
81,11230545,제기동,20211231.0,23.0,30137.732
82,11230560,전농제1동,20211231.0,23.0,30142.9969
83,11230570,전농제2동,20211231.0,23.0,16902.3141
84,11230600,답십리제1동,20211231.0,23.0,25659.2238
85,11230610,답십리제2동,20211231.0,23.0,25762.6141
86,11230650,장안제1동,20211231.0,23.0,35392.639
87,11230660,장안제2동,20211231.0,23.0,26377.5008
88,11230705,청량리동,20211231.0,23.0,17740.0543
89,11230710,회기동,20211231.0,23.0,16713.0469
90,11230720,휘경제1동,20211231.0,23.0,15146.3703
91,11230730,휘경제2동,20211231.0,23.0,21552.3517
92,11230740,이문제1동,20211231.0,23.0,21662.835
93,11230750,이문제2동,20211231.0,23.0,18212.9225
94,11260520,면목제2동,20211231.0,23.0,23169.4224
95,11260540,면목제4동,20211231.0,23.0,19723.0326
96,11260550,면목제5동,20211231.0,23.0,13901.9976
97,11260565,면목본동,20211231.0,23.0,29607.1362
98,11260570,면목제7동,20211231.0,23.0,20580.4673
99,11260575,면목제3.8동,20211231.0,23.0,20961.347
100,11260580,상봉제1동,20211231.0,23.0,17999.2749
101,11260590,상봉제2동,20211231.0,23.0,24109.3082
102,11260600,중화제1동,20211231.0,23.0,19400.7
103,11260610,중화제2동,20211231.0,23.0,26931.4336
104,11260620,묵제1동,20211231.0,23.0,29986.9343
105,11260630,묵제2동,20211231.0,23.0,19581.5713
106,11260655,망우본동,20211231.0,23.0,36853.4046
107,11260660,망우제3동,20211231.0,23.0,14557.7407
108,11260680,신내1동,20211231.0,23.0,37346.9226
109,11260690,신내2동,20211231.0,23.0,19030.5473
110,11290525,성북동,20211231.0,23.0,21493.0783
111,11290555,삼선동,20211231.0,23.0,23236.7565
112,11290575,동선동,20211231.0,23.0,22531.2078
113,11290580,돈암제1동,20211231.0,23.0,15082.9488
114,11290590,돈암제2동,20211231.0,23.0,17289.1064
115,11290600,안암동,20211231.0,23.0,17308.4018
116,11290610,보문동,20211231.0,23.0,17494.7447
117,11290620,정릉제1동,20211231.0,23.0,15040.2967
118,11290630,정릉제2동,20211231.0,23.0,21407.0886
119,11290640,정릉제3동,20211231.0,23.0,13875.6785
120,11290650,정릉제4동,20211231.0,23.0,20769.3962
121,11290660,길음제1동,20211231.0,23.0,37378.4411
122,11290685,길음제2동,20211231.0,23.0,15388.6991
123,11290705,종암동,20211231.0,23.0,40813.0918
124,11290715,월곡제1동,20211231.0,23.0,23522.7063
125,11290725,월곡제2동,20211231.0,23.0,21783.6813
126,11290760,장위제1동,20211231.0,23.0,24708.5142
127,11290770,장위제2동,20211231.0,23.0,14110.5045
128,11290780,장위제3동,20211231.0,23.0,6722.2271
129,11290810,석관동,20211231.0,23.0,28723.1143
130,11305534,삼양동,20211231.0,23.0,26255.7232
131,11305535,미아동,20211231.0,23.0,20528.5805
132,11305545,송중동,20211231.0,23.0,34682.7265
133,11305555,송천동,20211231.0,23.0,28030.1728
134,11305575,삼각산동,20211231.0,23.0,26496.6193
135,11305595,번1동,,,
136,11305603,번2동,,,
137,11305608,번3동,,,
138,11305615,수유1동,,,
139,11305625,수유2동,,,
140,11305635,수유3동,,,
141,11305645,우이동,20211231.0,23.0,19484.2373
142,11305660,인수동,20211231.0,23.0,31623.7995
143,11320511,창제1동,20211231.0,23.0,23803.1093
144,11320512,창제2동,20211231.0,23.0,33610.8086
145,11320513,창제3동,20211231.0,23.0,12885.6513
146,11320514,창제4동,20211231.0,23.0,29202.5573
147,11320515,창제5동,20211231.0,23.0,19651.6268
148,11320521,도봉제1동,20211231.0,23.0,17928.3256
149,11320522,도봉제2동,20211231.0,23.0,21100.1017
150,11320660,쌍문제1동,20211231.0,23.0,18122.4255
151,11320670,쌍문제2동,20211231.0,23.0,19147.3472
152,11320680,쌍문제3동,20211231.0,23.0,14995.6475
153,11320681,쌍문제4동,20211231.0,23.0,15734.2487
154,11320690,방학제1동,20211231.0,23.0,25319.42
155,11320700,방학제2동,20211231.0,23.0,12284.7469
156,11320710,방학제3동,20211231.0,23.0,24690.2284
157,11350560,월계1동,20211231.0,23.0,22923.832
158,11350570,월계2동,20211231.0,23.0,23046.2838
159,11350580,월계3동,20211231.0,23.0,30825.5664
160,11350595,공릉1동,20211231.0,23.0,43605.1118
161,11350600,공릉2동,20211231.0,23.0,41629.952
162,11350611,하계1동,20211231.0,23.0,26798.1638
163,11350612,하계2동,20211231.0,23.0,15097.8927
164,11350619,중계본동,20211231.0,23.0,21891.555
165,11350621,중계1동,20211231.0,23.0,31266.3368
166,11350624,중계4동,20211231.0,23.0,17215.2919
167,11350625,중계2.3동,20211231.0,23.0,33185.3451
168,11350630,상계1동,20211231.0,23.0,42304.9374
169,11350640,상계2동,20211231.0,23.0,29401.5169
170,11350665,상계3.4동,20211231.0,23.0,23129.948
171,11350670,상계5동,20211231.0,23.0,19670.0933
172,11350695,상계6.7동,20211231.0,23.0,45545.8777
173,11350700,상계8동,20211231.0,23.0,21464.45
174,11350710,상계9동,20211231.0,23.0,19764.9844
175,11350720,상계10동,20211231.0,23.0,11576.5856
176,11380510,녹번동,20211231.0,23.0,36581.5361
177,11380520,불광제1동,20211231.0,23.0,33578.1261
178,11380530,불광제2동,20211231.0,23.0,26468.6956
179,11380551,갈현제1동,20211231.0,23.0,23958.8652
180,11380552,갈현제2동,20211231.0,23.0,24836.8247
181,11380560,구산동,20211231.0,23.0,28957.6744
182,11380570,대조동,20211231.0,23.0,42729.4813
183,11380580,응암제1동,20211231.0,23.0,28799.0025
184,11380590,응암제2동,20211231.0,23.0,17847.0866
185,11380600,응암제3동,20211231.0,23.0,25264.9449
186,11380625,역촌동,20211231.0,23.0,46316.985
187,11380631,신사제1동,20211231.0,23.0,26590.9912
188,11380632,신사제2동,20211231.0,23.0,15713.0838
189,11380640,증산동,20211231.0,23.0,12873.1093
190,11380650,수색동,20211231.0,23.0,9936.051
191,11380690,진관동,20211231.0,23.0,64807.8367
192,11410520,천연동,20211231.0,23.0,15566.718
193,11410555,북아현동,20211231.0,23.0,39656.5533
194,11410565,충현동,20211231.0,23.0,27115.728
195,11410585,신촌동,20211231.0,23.0,34354.4923
196,11410615,연희동,20211231.0,23.0,37032.2785
197,11410620,홍제제1동,20211231.0,23.0,25445.9574
198,11410640,홍제제3동,20211231.0,23.0,16680.4094
199,11410655,홍제제2동,20211231.0,23.0,10784.2793
200,11410660,홍은제1동,20211231.0,23.0,16895.4443
201,11410685,홍은제2동,20211231.0,23.0,26281.9287
202,11410690,남가좌제1동,20211231.0,23.0,7617.9584
203,11410700,남가좌제2동,20211231.0,23.0,18805.4352
204,11410710,북가좌제1동,20211231.0,23.0,14944.7943
205,11410720,북가좌제2동,20211231.0,23.0,42748.7407
206,11440555,아현동,20211231.0,23.0,22058.6798
207,11440565,공덕동,20211231.0,23.0,39556.5579
208,11440585,도화동,20211231.0,23.0,16521.0693
209,11440590,용강동,20211231.0,23.0,29491.9661
210,11440600,대흥동,20211231.0,23.0,18226.2669
211,11440610,염리동,20211231.0,23.0,10852.958
212,11440630,신수동,20211231.0,23.0,18910.6314
213,11440655,서강동,20211231.0,23.0,26115.9917
214,11440660,서교동,20211231.0,23.0,44869.8682
215,11440680,합정동,20211231.0,23.0,17364.1947
216,11440690,망원제1동,20211231.0,23.0,21294.5132
217,11440700,망원제2동,20211231.0,23.0,18404.9264
218,11440710,연남동,20211231.0,23.0,19908.4317
219,11440720,성산제1동,20211231.0,23.0,22059.8874
220,11440730,성산제2동,20211231.0,23.0,35438.6323
221,11440740,상암동,20211231.0,23.0,35102.8588
222,11470510,목1동,20211231.0,23.0,35770.7352
223,11470520,목2동,20211231.0,23.0,26228.8891
224,11470530,목3동,20211231.0,23.0,18428.4115
225,11470540,목4동,20211231.0,23.0,21687.6749
226,11470550,목5동,20211231.0,23.0,41190.8773
227,11470560,신월1동,20211231.0,23.0,17604.8994
228,11470570,신월2동,20211231.0,23.0,16798.0158
229,11470580,신월3동,20211231.0,23.0,14188.4021
230,11470590,신월4동,20211231.0,23.0,13582.188
231,11470600,신월5동,20211231.0,23.0,9224.4455
232,11470610,신월6동,20211231.0,23.0,5397.9204
233,11470611,신월7동,20211231.0,23.0,15386.0113
234,11470620,신정1동,20211231.0,23.0,20369.2911
