기준일ID,시간대구분,행정동코드,총생활인구수
20211231,23,11590520,15392.3606
20211231,23,11110700,6766.6507
20211231,23,11650550,1944.715
20211231,23,11650580,17357.3845
20211231,23,11560710,20246.6744
20211231,23,11260660,14557.7407
20211231,23,11200535,31440.2792
20211231,23,11290705,40813.0918
20211231,23,11380580,28799.0025
20211231,23,11680590,32317.9191
20211231,23,11170640,6907.8181
20211231,23,11620745,23185.473
20211231,23,11710540,15018.567
20211231,23,11290620,15040.2967
20211231,23,11320680,14995.6475
20211231,23,11305645,19484.2373
20211231,23,11590605,29718.6443
20211231,23,11620565,25610.0031
20211231,23,11500590,33008.5341
20211231,23,11740650,26922.978
20211231,23,11470650,34331.3744
20211231,23,11305555,28030.1728
20211231,23,11200615,22349.0277
20211231,23,11545620,17748.9444
20211231,23,11215860,22265.5797
20211231,23,11710632,29330.8134
20211231,23,11470550,41190.8773
20211231,23,11305575,26496.6193
20211231,23,11500560,20698.8263
20211231,23,11215710,30568.6529
20211231,23,11260655,36853.4046
20211231,23,11590560,27652.2279
20211231,23,11500615,31989.9781
20211231,23,11650610,17910.5396
20211231,23,11500603,39084.434
20211231,23,11680610,35537.4468
20211231,23,11710610,33826.1848
20211231,23,11215820,24075.9979
20211231,23,11740640,23939.9343
20211231,23,11320670,19147.3472
20211231,23,11545510,31349.7089
20211231,23,11320710,24690.2284
20211231,23,11710650,33309.496
20211231,23,11470640,46118.7188
20211231,23,11320512,33610.8086
20211231,23,11650620,20588.0106
20211231,23,11290660,37378.4411
20211231,23,11470620,20369.2911
20211231,23,11545690,9321.228
20211231,23,11320513,12885.6513
20211231,23,11215770,27191.3327
20211231,23,11440590,29491.9661
20211231,23,11200670,18339.1145
20211231,23,11290770,14110.5045
20211231,23,11350612,15097.8927
20211231,23,11470600,9224.4455
20211231,23,11620715,12970.1138
20211231,23,11620615,16807.9851
20211231,23,11215760,16115.1066
20211231,23,11470510,35770.7352
20211231,23,11410720,42748.7407
20211231,23,11740515,52734.6115
20211231,23,11305606,18281.51
20211231,23,11680655,35172.316
20211231,23,11560720,26904.1743
20211231,23,11230740,21662.835
20211231,23,11380552,24836.8247
20211231,23,11560515,18282.899
20211231,23,11230750,18212.9225
20211231,23,11710642,27580.6059
20211231,23,11200645,25853.3723
20211231,23,11500550,13284.7732
20211231,23,11710510,15815.8499
20211231,23,11545680,17633.2119
20211231,23,11200590,17598.9218
20211231,23,11290555,23236.7565
20211231,23,11260570,20580.4673
20211231,23,11215830,23091.4208
20211231,23,11410640,16680.4094
20211231,23,11200540,21071.8668
20211231,23,11305610,21024.1728
20211231,23,11305590,17832.1312
20211231,23,11290810,28723.1143
20211231,23,11530540,27970.5533
20211231,23,11350570,23046.2838
20211231,23,11110630,9202.849
20211231,23,11620585,19105.5633
20211231,23,11710690,23303.3734
20211231,23,11440660,44869.8682
20211231,23,11470610,5397.9204
20211231,23,11110680,11146.8167
20211231,23,11290780,6722.2271
20211231,23,11560670,6929.3372
20211231,23,11305620,21767.3654
20211231,23,11200720,11133.5452
20211231,23,11260520,23169.4224
20211231,23,11260680,37346.9226
20211231,23,11410685,26281.9287
20211231,23,11470520,26228.8891
20211231,23,11710720,10844.6382
20211231,23,11710550,16963.8419
20211231,23,11305630,26550.7752
20211231,23,11260565,29607.1362
20211231,23,11170555,21879.8135
20211231,23,11500535,36318.4934
20211231,23,11350670,19670.0933
20211231,23,11110670,6050.9867
20211231,23,11740660,28098.8671
20211231,23,11215780,11945.4462
20211231,23,11260575,20961.347
20211231,23,11410700,18805.4352
20211231,23,11140570,7071.5924
20211231,23,11500620,30404.274
20211231,23,11530770,15495.1619
20211231,23,11470590,13582.188
20211231,23,11440730,35438.6323
20211231,23,11680740,16943.3044
20211231,23,11650651,44728.3397
20211231,23,11350640,29401.5169
20211231,23,11170560,19073.7637
20211231,23,11440555,22058.6798
20211231,23,11710566,15014.0802
20211231,23,11500641,17907.7491
20211231,23,11380510,36581.5361
20211231,23,11260550,13901.9976
20211231,23,11215847,22825.6173
20211231,23,11530740,31911.7087
20211231,23,11305545,34682.7265
20211231,23,11260540,19723.0326
20211231,23,11230660,26377.5008
20211231,23,11260580,17999.2749
20211231,23,11320511,23803.1093
20211231,23,11290630,21407.0886
20211231,23,11440565,39556.5579
20211231,23,11320660,18122.4255
20211231,23,11560620,23604.8083
20211231,23,11380632,15713.0838
20211231,23,11305534,26255.7232
20211231,23,11410615,37032.2785
20211231,23,11305660,31623.7995
20211231,23,11440610,10852.958
20211231,23,11305535,20528.5805
20211231,23,11680565,31243.0248
20211231,23,11440680,17364.1947
20211231,23,11215850,28623.6162
20211231,23,11590630,31152.7321
20211231,23,11740550,26910.7835
20211231,23,11410565,27115.728
20211231,23,11170530,9634.8789
20211231,23,11290725,21783.6813
20211231,23,11710561,17946.3109
20211231,23,11530790,24625.466
20211231,23,11530530,30381.0843
20211231,23,11140680,8401.9828
20211231,23,11545630,24276.7276
20211231,23,11710647,43263.5527
20211231,23,11740570,31073.8249
20211231,23,11110690,6449.842
20211231,23,11230560,30142.9969
20211231,23,11590540,21337.7203
20211231,23,11590660,42239.7696
20211231,23,11620725,23623.3598
20211231,23,11620775,19801.5868
20211231,23,11620655,18474.8993
20211231,23,11320690,25319.42
20211231,23,11680650,43169.1371
20211231,23,11620595,37038.9832
20211231,23,11200650,15088.7928
20211231,23,11680640,60545.5509
20211231,23,11290640,13875.6785
20211231,23,11410655,10784.2793
20211231,23,11740530,31484.0778
20211231,23,11710680,41230.7286
20211231,23,11530595,11300.9976
20211231,23,11110550,14614.0155
20211231,23,11680750,18249.763
20211231,23,11545610,31888.8257
20211231,23,11470580,14188.4021
20211231,23,11350619,21891.555
20211231,23,11440585,16521.0693
20211231,23,11320514,29202.5573
20211231,23,11410620,25445.9574
20211231,23,11260590,24109.3082
20211231,23,11500520,22344.3358
20211231,23,11230730,21552.3517
20211231,23,11170700,11962.7422
20211231,23,11260690,19030.5473
20211231,23,11470611,15386.0113
20211231,23,11140605,6956.7291
20211231,23,11650590,20220.9541
20211231,23,11620665,19679.0725
20211231,23,11290650,20769.3962
20211231,23,11230705,17740.0543
20211231,23,11560630,17765.914
20211231,23,11500510,32703.1755
20211231,23,11200790,17335.8882
20211231,23,11290580,15082.9488
20211231,23,11680531,27829.9394
20211231,23,11380650,9936.051
20211231,23,11410520,15566.718
20211231,23,11380590,17847.0866
20211231,23,11440700,18404.9264
20211231,23,11620545,12573.3092
20211231,23,11380520,33578.1261
20211231,23,11680545,29818.5022
20211231,23,11710580,28169.2815
