시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,도로형태,가해운전자 차종,피해운전자 차종
서울특별시 은평구 응암동,중상사고,0,1,0,0,차대차 - 측면충돌,교차로 - 교차로안,승용,원동기
서울특별시 영등포구 영등포동,중상사고,0,1,3,0,차대차 - 기타,단일로 - 기타,이륜,승합
서울특별시 노원구 월계동,경상사고,0,0,1,0,차대차 - 추돌,단일로 - 기타,승용,승용
서울특별시 종로구 종로4가,경상사고,0,0,1,0,차대차 - 측면충돌,교차로 - 교차로안,승용,승용
서울특별시 강북구 미아동,경상사고,0,0,1,0,차대차 - 기타,단일로 - 기타,승용,이륜
서울특별시 금천구 독산동,경상사고,0,0,1,0,차대차 - 추돌,교차로 - 교차로부근,승용,승용
서울특별시 강남구 일원동,경상사고,0,0,1,0,차대사람 - 기타,교차로 - 교차로부근,승용,보행자
서울특별시 노원구 하계동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로 - 교차로안,승합,승용
서울특별시 노원구 공릉동,경상사고,0,0,1,0,차대차 - 추돌,교차로 - 교차로안,승용,승용
서울특별시 송파구 삼전동,중상사고,0,1,0,0,차대차 - 기타,교차로 - 교차로부근,승용,자전거
서울특별시 마포구 공덕동,중상사고,0,1,0,0,차대차 - 측면충돌,교차로 - 교차로안,이륜,승합
서울특별시 중랑구 중화동,중상사고,0,1,0,0,차대차 - 기타,교차로 - 교차로안,화물,이륜
서울특별시 강서구 방화동,경상사고,0,0,3,0,차대차 - 측면충돌,교차로 - 교차로안,승용,승용
서울특별시 용산구 한강로2가,중상사고,0,1,4,0,차대차 - 기타,교차로 - 교차로부근,이륜,승합
서울특별시 강동구 천호동,경상사고,0,0,1,0,차대차 - 기타,단일로 - 기타,화물,승용
서울특별시 송파구 풍납동,경상사고,0,0,2,0,차대차 - 기타,단일로 - 기타,승용,승용
서울특별시 금천구 독산동,중상사고,0,1,0,0,차대차 - 측면충돌,교차로 - 교차로안,승용,이륜
서울특별시 중랑구 상봉동,경상사고,0,0,1,0,차대차 - 측면충돌,단일로 - 기타,승용,승용
서울특별시 은평구 진관동,중상사고,0,1,1,0,차대차 - 측면충돌,교차로 - 교차로안,승용,승용
서울특별시 송파구 장지동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로 - 교차로안,승용,승용
서울특별시 노원구 상계동,경상사고,0,0,1,0,차대사람 - 기타,단일로 - 기타,승용,보행자
서울특별시 관악구 신림동,경상사고,0,0,3,0,차대차 - 측면충돌,교차로 - 교차로안,승용,승용
서울특별시 강동구 성내동,경상사고,0,0,1,0,차대차 - 정면충돌,교차로 - 교차로안,이륜,승용
서울특별시 노원구 월계동,경상사고,0,0,1,0,차대차 - 추돌,교차로 - 교차로안,승용,승용
서울특별시 동대문구 전농동,경상사고,0,0,1,1,차대차 - 기타,단일로 - 기타,승용,이륜
서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 추돌,단일로 - 기타,승용,이륜
서울특별시 영등포구 신길동,경상사고,0,0,1,0,차대차 - 후진중충돌,교차로 - 교차로안,승용,원동기
서울특별시 중랑구 면목동,중상사고,0,1,0,0,차대차 - 기타,단일로 - 기타,화물,이륜
서울특별시 관악구 봉천동,중상사고,0,2,0,0,차대차 - 후진중충돌,단일로 - 기타,승용,승용
서울특별시 강동구 성내동,경상사고,0,0,1,0,차대사람 - 횡단중,교차로 - 교차로횡단보도내,이륜,보행자
서울특별시 양천구 신정동,중상사고,0,2,0,0,차대차 - 정면충돌,교차로 - 교차로안,이륜,승용
서울특별시 동대문구 이문동,경상사고,0,0,1,0,차대차 - 기타,교차로 - 교차로안,승용,자전거
서울특별시 중랑구 면목동,경상사고,0,0,1,0,차대차 - 기타,단일로 - 기타,승용,이륜
서울특별시 강남구 도곡동,경상사고,0,0,1,0,차대차 - 기타,교차로 - 교차로안,승용,승합
서울특별시 관악구 봉천동,경상사고,0,0,2,0,차대차 - 측면충돌,기타 - 기타,이륜,이륜
서울특별시 강동구 천호동,경상사고,0,0,3,0,차대차 - 추돌,교차로 - 교차로부근,화물,승용
서울특별시 양천구 신정동,중상사고,0,1,0,0,차대차 - 기타,교차로 - 교차로안,승용,자전거
서울특별시 강동구 길동,중상사고,0,1,1,0,차대차 - 측면충돌,교차로 - 교차로안,원동기,원동기
서울특별시 금천구 독산동,경상사고,0,0,1,0,차대차 - 측면충돌,단일로 - 기타,승용,승용
서울특별시 송파구 가락동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로 - 교차로안,승용,승용
서울특별시 은평구 녹번동,중상사고,0,1,0,0,차대사람 - 기타,단일로 - 기타,승용,보행자
서울특별시 강남구 역삼동,경상사고,0,0,5,0,차대차 - 추돌,단일로 - 기타,승용,승용
서울특별시 송파구 석촌동,중상사고,0,1,0,0,차대차 - 측면충돌,교차로 - 교차로횡단보도내,원동기,자전거
서울특별시 구로구 구로동,중상사고,0,1,0,0,차대차 - 측면충돌,교차로 - 교차로안,승용,원동기
